question,answer
Bagaimana saya mengecek saldo panjar perkara saya ?,Penggunaan biaya perkara dapat dilihat pada tiap detil perkara pada aplikasi Sistem Informasi Penelusuran Perkara (SIPP) Website pada setiap Pengadilan.
Apakah saya bisa menarik uang panjar ketika perkara belum selesai?,Tidak bisa
Apakah saya bisa membayar panjar perkara dengan kartu kredit?,"Saat ini belum bisa menggunakan kartu kredit, pembayaran dilakukan melalui transfer pada Rekening Pengadilan."
Apakah tergugat untuk panggilan pertama dilakukan secara elektronik?,"Untuk Panggilan Elektronik hanya dilakukan kepada Pihak Penggugat, sedangkan Tergugat Panggilan Pertama dilakukan melalui Jurusita Pengadilan."
Apakah panggilan elektronik dikenakan biaya?,Tidak ada biaya
Panggilan elektronik dilakukan melalui apa?,Panggilan elektronik akan dikirim melalui domisili elektronik Pihak (email terdaftar).
Apakah panggilan tergugat yang berada di luar negeri bisa dilakukan secara elektronik?,Panggilan luar negeri diatur dalam Sistem Rogatory Kementrian Luar Negeri yang bekerja sama dengan Mahkamah Agung. Secara detil dapat dilihat pada website http://rogatori.kemlu.go.id/
Bagaimana panggilan elektronik dilakukan?,Panggilan elektronik dilakukan oleh Jurusita Pengadilan dengan mengirimkan Surat Panggilan Elektronik ke alamat domisili elektronik pihak Penggugat maupun Tergugat.
kemana harus mengajukan perkara sengketa tanah jika tanah berada di lain kota?,"apabila sengketa berkaitan dengan harta tidak bergerak (mis.tanah), maka gugatan diajukan di pengadilan yang wilayahnya meliputi wilayah tanah sengketa."
apa itu SKUM?,Surat Kuasa Untuk Membayar
bagaimana prosedur pembayaran via bank?,Petugas Meja I (dapat) memberikan penjelasan yang dianggap perlu berkenaan dengan perkara yang diajukan kemudian menaksir panjar biaya perkara yang di tugaskan dalam Surat Kuasa Untuk Membayar (SKUM).
bagaimana tata cara pembayaran melalui bank?,Petugas Meja I (dapat) memberikan penjelasan yang dianggap perlu berkenaan dengan perkara yang diajukan kemudian menaksir panjar biaya perkara yang di tugaskan dalam Surat Kuasa Untuk Membayar (SKUM).
apakah bisa mengajukan gugatan mandiri?,"bisa, melalui alamat http://gugatanmandiri.badilag.net/gugatan_mandiri/"
perkara apa saja yang bisa mengajukan gugatan mandiri?,perkara lainnya juga bisa mengajukan gugatan secara mandiri
bagaimana prosedur cerai talak?,pemohon mengajukan permohonan secara tertulis atau lisan kepada pengadilan agama/mahkamah syariah
apakah surat permohonan cerai talak dapat dirubah?,Surat permohonan dapat dirubah sepanjang tidak mengubah posita dan petitum. Jika Termohon telah menjawab surat permohonan tersebut harus atas persetujuan Termohon.
bagaimana jika termohon sedang berada diluar negeri?,"Bila Termohon berkediaman di luar negeri, maka permohonan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat kediaman Pemohon"
bagaimana jika kedua pihak berada diluar negeri?,"Bila Pemohon dan Termohon bertempat kediaman di luar negeri, maka permohonan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat dilangsungkan pernikahan atau kepada Pengadilan Agama"
apa saja yang termuat dalam permohonan cerai talak?,"(1) nama, umur, pekerjaan, agama, dan tempat kediaman pemohon dan termohon. (2) Posita. (3) Petitum"
apa itu posita?,fakta kejadian dan fakta hukum
apa itu petitum,hal-hal yang dituntut berdasarkan posita
bagaimana soal hak anak pada cerai talak?,"Permohonan soal penguasaan anak, nafkah anak, nafkah istri dan harta bersama, dapat diajukan bersama-sama dengan permohonan cerai talak atau sesudah ikrar talak diucapkan"
apa itu SIPP?,Sistem Informasi Penelusuran Perkara
berapa biaya perkara pada pengadilan tinggi agama?,"kisaran biaya berperkara di pengadilan tinggi agama adalah sekitar Rp.150.000, nominal bisa berbeda setiap PTA"
Apa itu bank syariah dan bagaimana cara kerjanya?,"Bank syariah adalah jenis bank yang beroperasi berdasarkan prinsip-prinsip Islam. Bank syariah tidak menggunakan sistem bunga seperti bank konvensional, tetapi menggunakan sistem bagi hasil, di mana nasabah dan bank bekerja sama dalam berbisnis dan mendapatkan keuntungan sesuai dengan kesepakatan."
Apa saja jenis asuransi syariah yang ada di Indonesia?,"Ada beberapa jenis asuransi syariah yang ada di Indonesia, di antaranya adalah asuransi jiwa syariah, asuransi kesehatan syariah, asuransi umum syariah, dan asuransi syariah mikro."
apa hukum asuransi syariah?,"Hukum asuransi syariah menurut hukum Islam adalah mubah atau boleh, selama asuransi tersebut memenuhi prinsip-prinsip syariah."
bagaimana jika terjadi perselisihan dalam polis asuransi?,"Dalam hal terjadi perselisihan dalam penafsiran dan pelaksanaan polis ini, maka pengelola dan pemegang polis sepakat untuk menyelesaikannya secara syariah melalui musyawarah untuk mufakat. Apabila setelah 30 (tiga puluh) hari kalender sejak perundingan dimulai belum juga terjadi kesepakatan, para pihak (pengelola, pemegang polis dan/atau penerima manfaat) sepakat untuk menempuh upaya hukum dapat diajukan kepada badan mediasi di bidang asuransi di Indonesia melalui BMAI (Badan Mediasi Asuransi Indonesia) sesuai dengan ketentuan yang ditetapkan oleh BMAI."
bagaimana jika terjadi sengketa pada asuransi syariah?,"Apabila terjadi sengketa pada asuransi syariah, hal tersebut dapat langsung diselesaikan oleh pihak perusahaan terkait, namun jika tidak bisa maka anda dapat mengajukan aduan ke BASYARNAS atau BMAI. Terakhir, anda bisa mengajukan masalah ini kepada Pengadilan Agama"
Bagaimana mekanisme pembiayaan dalam bank syariah?,"Dalam bank syariah, mekanisme pembiayaan menggunakan prinsip-prinsip syariah, seperti mudharabah (kerjasama bisnis), musharaka (pemilikan bersama), dan murabahah (penjualan dengan harga markup)."
Apakah ada perbedaan signifikan antara bank syariah dan bank konvensional dalam hal biaya dan layanan?,"Ada beberapa perbedaan antara bank syariah dan bank konvensional dalam hal biaya dan layanan, tergantung pada jenis produk dan layanan yang ditawarkan oleh bank tersebut. Misalnya, beberapa bank syariah mungkin menawarkan biaya yang lebih rendah untuk layanan tertentu dibandingkan dengan bank konvensional."
Bagaimana bank syariah memastikan bahwa bisnis yang didanai melalui pembiayaan tidak melanggar prinsip-prinsip syariah?,"Bank syariah memastikan bahwa bisnis yang didanai melalui pembiayaan tidak melanggar prinsip-prinsip syariah dengan melakukan due diligence dan evaluasi terhadap bisnis yang akan didanai. Proses ini meliputi analisis tentang aspek hukum, keuangan, sosial, dan etika bisnis tersebut. Bank syariah juga memastikan bahwa bisnis yang didanai tidak melibatkan unsur riba, gharar, maysir, dan unsur-unsur lain yang tidak sesuai dengan prinsip-prinsip syariah."
Apakah ada batasan atau syarat khusus untuk menjadi nasabah bank syariah?,"Ada beberapa syarat khusus untuk menjadi nasabah bank syariah, meskipun syarat ini bervariasi antar bank syariah. Umumnya, nasabah bank syariah harus memenuhi syarat-syarat seperti berusia di atas 18 tahun, memiliki identitas diri yang sah, dan memiliki penghasilan yang stabil. Nasabah juga harus memahami prinsip-prinsip syariah dan bersedia mengikuti aturan dan prosedur yang diterapkan oleh bank syariah."
Bagaimana cara mengajukan sengketa ekonomi syariah?,"Penyelesaian sengketa ekonomi syariah dapat menggunakan prosedur gugatan sederhana dengan catatan kedua belah pihak berdomisili di kota yang sama dan Nominal yang diperselisihkan tidak lebih dari Rp 200.000.000. Untuk masalah penyelesaian sengketa secara lebih lanjut, anda dapat mendatangi pengadilan agama terdekat."
Apa saja yang harus saya bawa untuk mengajukan sengketa ke pengadilan agama?,"Beberapa berkas yang harus anda bawa antara lain ialah : Surat Pengajuan Sengketa, Bukti yang Relevan (bisa berupa catatan bank atau dokumen lainnya), Identitas diri berupa KTP dan KK, dan Surat Pernyataan Saksi"
Bagaimana cara menyelesaikan sengketa?,"Dalam beberapa kasus, pihak-pihak yang terlibat dalam sengketa dapat meminta bantuan dari mediator atau konsultan syariah untuk mencoba menyelesaikan masalah secara damai sebelum mengajukan sengketa ke pengadilan. Jika masalah tidak dapat diselesaikan melalui mediasi, maka salah satu pihak atau kedua pihak bersama-sama dapat mengajukan permohonan untuk menyelesaikan sengketa ekonomi syariah kepada pengadilan agama terdekat."
Bagaimana jika saya dianggap tidak memenuhi perjanjian pembayaran padahal sudah saya penuhi?,jika anda dapat membuktikan bahwa anda tidak bersalah dan memiliki alasan yang valid untuk masalah tersebut maka prinsip istishab berlaku dan pihak penggugat harus memperhatikan bukti yang diberikan oleh anda.
"saya memiliki sengketa dengan nilai diatas 200 juta, bagaimana cara penyelesaiannya?","Dengan nilai gugatan diatas 200 juta, anda harus mengajukan Gugatan Biasa, dengan waktu penyelesaian sekitar 5 bulan disertai dengan keberadaan Majelis Hakim"
"saya memiliki sengketa dengan nilai dibawah 200 juta, bagaimana cara penyelesaiannya?","Dengan nilai gugatan dibawah 200 juta, anda harus mengajukan Gugatan Sederhana, dengan waktu penyelesaian sekitar 1 bulan (harus berada di domisili yang sama)"
apakah saya bisa melakukan pinjaman modal pada bank syariah?,"Sudah banyak bank syariah yang menyediakan layanan pinjaman modal tanpa riba. Nantinya, Anda akan diminta untuk memilih akad pinjaman yang diinginkan. Mulai dari akad mudharabah hingga mutanaqishah."
Akad apa saja yang tersedia untuk peminjaman modal pada Lembaga Keuangan Mikro Syariah (LKMS)?,"Akad yang tersedia pada LKMS antara lain : Murabahah (jual beli barang jadi bayar tangguh), Mudharabah (bagi hasil tanpa sharing dana nasabah), Akad Musyarakah (bekerja sama dalam mengelola suatu usaha), Akad Ijarah (Peminjaman Barang/Jasa dengan sewa)"
"saya memiliki warung grosir dan ingin meminjam modal kepada LKMS, akad apa yang cocok untuk saya?","Untuk kebutuhan modal usaha warung grosir Anda, akad yang cocok adalah Akad Mudharabah atau Akad Musyarakah. Kedua akad ini sangat sesuai untuk membiayai usaha kecil dan menengah seperti warung grosir."
"saya berdagang keliling dan ingin meminjam modal kepada LKMS, akad apa yang cocok untuk saya?","Untuk kebutuhan modal usaha dagang keliling, akad yang paling cocok adalah Akad Mudharabah atau Akad Murabahah."
kapan maksimal saya mengajukan keberatan terhadap keputusan Hakim?,Putusan terhadap permohonan keberatan diucapkan paling lambat 7 (tujuh) hari setelah tanggal penetapan Majelis Hakim
"saya memiliki warung makan dan ingin meminjam modal kepada LKMS, akad apa yang cocok untuk saya?","Untuk usaha warung makan, akad murabahah atau akad jual beli dengan tambahan modal adalah pilihan yang cocok."
apa yang terjadi apabila saya tidak menepati akad yang telah saya pilih?,"Jika Anda tidak menepati akad yang dibuat dengan lembaga keuangan mikro syariah, maka bisa terjadi beberapa hal, tergantung pada akad yang telah dibuat dan syarat-syarat yang ditentukan. Beberapa diantaranya ialah : Denda, Jaminan ditahan, Kehilangan bagi hasil, dan Kehilangan modal"
apakah bisa saya mendapatkan pelayanan hukum secara gratis?,"Masyarakat Tidak Mampu berhak mendapatkan layanan hukum di Pengadilan, Anda cukup membawa SKTM atau dokumen serupa ke Pengadilan Agama dan Anda akan mendapatkan pembebasan biaya"
bagaimana prosedur pengadilan agama Indonesia apabila yang tergugat melarikan diri dan tidak diketahui lokasinya?,"Apabila terdakwa tidak hadir dalam sidang dan tidak dapat ditemukan dalam proses penyidikan yang dilakukan oleh pihak kepolisian, maka pihak pengadilan agama dapat mengeluarkan putusan berdasarkan bukti-bukti yang telah diperoleh dan keterangan dari saksi-saksi yang telah dihadirkan dalam sidang."
apa itu asuransi syariah?,"Asuransi Syariah (Ta’min, Takaful, Tadhamun) adalah Usaha saling melindungi dan tolong-menolong diantara sejumlah orang/ pihak melalui investasi dalam bentuk asset dan/ tabarru yang memberikan pola pengembalian untuk menghadapi risiko tertentu melalui akad (perikatan) yang sesuai dengan syariah."
apa saja akad yang tersedia pada asuransi syariah?,"Akad dalam Produk Asuransi Syariah terbagi menjadi 2 (dua), yaitu Akad Tijarah (Wakalah bil Ujrah) dan Akad Tabarru (Hibah)."
apa saja hak saya dalam persidangan?,"hak untuk melakukan jawab-menjawab dan mengajukan bantahan, hak untuk mengajukan pembuktian, hak untuk mengajukan kesimpulan"
apakah saya bisa mendapatkan prodeo?,setiap orang atau sekelompok orang yang tidak mampu secara ekonomi dapat mengajukan permohonan pembebasan biaya perkara dengan mencantumkan bukti
apa saja bukti untuk menerima prodeo?,SKTM atau Surat Keterangan Tunjangan Sosial lainnya
"saya memiliki kartu raskin, apakah saya bisa mendapatkan prodeo?","iya bisa, kartu raskin merupakan Surat Keterangan Tunjangan Sosial lainnya"
apa saja bukti lainnya selain SKTM jika hendak mendapatkan prodeo?,"Kartu Keluarga Miskin, Kartu Jaminan Kesehatan Masyarakat, Kartu Beras Miskin, Kartu Program Keluarga Harapan, Kartu Bantuan Langsung Tunai, Kartu Perlindungan Sosial, atau dokumen lainnya yang berkaitan dengan daftar penduduk miskin dalam basis data terpadu pemerintah atau instansi lain yang berwenang"
pembebasan biaya apa saja yang saya dapatkan jika prodeo saya diterima?,"dalam hal permohonan pembebasan biaya perkara dikabulkan, penerima layanan pembebasan perkara tidak akan dipungut biaya pendaftaran perkara, biaya redaksi dan leges dan penerimaan negara bukan pajak lainnya"
bagaimana prosedur prodeo atau pembebasan biaya perkara?,"apabila permohonan pembebasan biaya perkara dikabulkan, salinan penetapan layanan pembebasan biaya perkara diserahkan kepada panitera/sekretaris selaku kuasa pengguna anggaran"
bagaimana cara saya mengajukan gugatan sederhana?,"Penggugat mendaftarkan gugatannya di kepaniteraan pengadilan. Gugatan dapat ditulis oleh penggugat atau dengan mengisi blanko gugatan yang telah disediakan di kepaniteraan. Blanko gugatan berisi keterangan mengenai:Identitas penggugat dan tergugat, Penjelasan ringkas duduk perkara, dan tuntutan penggugat"
apa saja tahapan tahapan gugatan sederhana?,pendaftaran; pemeriksaan kelengkapan gugatan sederhana; penetapan hakim dan penunjukan panitera pengganti; pemeriksaan pendahuluan; penetapan hari sidang dan pemanggilan para pihak; pemeriksaan sidang dan perdamaian; pembuktian; dan putusan
berapa lama waktu penyelesaian gugatan sederhana?,gugatan sederhana diselesaikan paling lama 25 hari sejak hari sidang pertama
apa itu reksa dana syariah?,"Reksadana syariah pada dasarnya sama dengan reksadana konvensional. Yang membedakan Reksadana Syariah dengan reksadana konvensional adalah reksadana syariah memiliki kebijaksanaan investassi yang berbasis pada prinsip-prinsip syariah/Islam. Instrumen Investasi yang dipilih dalam portofolio haruslah dikategorikan halal, jauh dari unsure ribawi bahkan bersih dari spekulasi."
bagaimana bila saya/penggugat tidak hadir dalam sidang 1?,Gugatan dinyatakan gugur
apakah bisa melakukan Mediasi pada sidang sederhana?,Tidak bisa
